Model,Tier,Type,ROUGE-1,ROUGE-2,ROUGE-L
CodeT5 ⚑,Code-specific fine-tuned,Abstractive,0.37223313234517386,0.15107941059535412,0.3433441352676735
TF-IDF,Corpus-fitted extractive,Extractive,0.11096833984563331,0.009263625959092267,0.09634245619789128
LexRank,Corpus-fitted extractive,Extractive,0.10392705338524205,0.007088415587196533,0.0920576916692153
SentenceTransformers,General-language pretrained,Extractive,0.10231463767555077,0.007377401336714412,0.09048400648023576
